StudentID,CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus,CodingScore,CommunicationScore
1,7.5,1,1,1,65,4.4,No,No,61,79,NotPlaced,72,75
2,8.9,0,3,2,90,4.0,Yes,Yes,78,82,Placed,62,68
3,7.3,1,2,2,82,4.8,Yes,No,79,80,NotPlaced,74,77
4,7.5,1,1,2,85,4.4,Yes,Yes,81,80,Placed,87,88
5,8.3,1,2,2,86,4.5,Yes,Yes,74,88,Placed,61,67
6,7.0,0,2,2,71,4.2,Yes,No,55,66,NotPlaced,61,67
7,7.7,1,1,1,76,4.0,No,No,62,65,NotPlaced,88,88
8,7.7,2,1,0,85,3.5,Yes,Yes,59,72,NotPlaced,76,79
9,6.5,1,1,0,84,3.9,No,Yes,75,71,NotPlaced,57,64
10,7.8,1,3,2,79,4.4,Yes,Yes,85,86,Placed,73,76
11,8.3,2,3,2,90,4.8,Yes,Yes,82,88,Placed,58,64
12,7.9,1,3,2,90,4.8,Yes,Yes,71,87,Placed,58,64
13,8.3,2,3,2,90,4.5,Yes,Yes,84,83,Placed,68,72
14,7.7,1,1,1,74,4.6,No,Yes,63,73,NotPlaced,36,47
15,7.5,1,1,1,66,4.1,No,No,61,66,NotPlaced,39,49
16,7.4,0,2,1,78,4.4,No,No,63,66,NotPlaced,56,63
17,8.6,0,3,0,84,4.8,Yes,Yes,62,78,Placed,49,57
18,8.2,2,3,2,90,4.7,Yes,Yes,84,86,Placed,69,73
19,6.8,2,3,0,73,4.4,Yes,Yes,72,82,Placed,51,59
20,7.4,1,2,0,70,4.4,No,Yes,58,63,NotPlaced,43,53
21,7.6,2,1,0,84,4.4,No,Yes,77,75,Placed,86,87
22,7.4,1,2,1,72,3.5,No,Yes,82,69,Placed,61,67
23,7.7,0,1,0,77,3.4,No,Yes,55,72,Placed,66,70
24,7.4,1,1,0,60,3.8,No,No,55,71,NotPlaced,43,52
25,7.4,1,2,1,90,4.3,No,Yes,56,69,NotPlaced,56,63
26,6.7,1,1,1,70,4.0,No,No,68,57,NotPlaced,66,71
27,7.4,2,3,2,78,4.3,Yes,Yes,76,82,NotPlaced,47,56
28,8.3,1,1,1,81,4.5,Yes,Yes,64,65,NotPlaced,70,74
29,7.5,1,2,1,84,4.4,No,No,66,73,NotPlaced,55,62
